name,level,parent_region,lat,lon
Cercado,2,El Beni,-14.8332996368408,-64.9000015258789
Jose Ballivian,2,El Beni,-14.5299803415934,-67.2040863037109
Marbán,2,El Beni,-15.3315274715424,-64.4563884735107
Moxos,2,El Beni,-15.2897000312805,-66.4449996948242
Vaca Diez,2,El Beni,-11.0128002166748,-66.0571975708008
Hernando Siles,2,Chuquisaca,-19.8048191070557,-63.9562797546387
Jaime Zudáñez,2,Chuquisaca,-18.9333324432373,-64.9333343505859
Juana Azurduy de Padilla,2,Chuquisaca,-19.99880027771,-64.4899978637695
Luis Calvo,2,Chuquisaca,-20.1728000640869,-63.6349811553955
Nor Cinti,2,Chuquisaca,-20.3710136413574,-65.1739654541016
Provincia de Oropeza,2,Chuquisaca,-19.0421390533447,-65.2558822631836
Provincia de Samuel Oropeza,2,Chuquisaca,-18.4833335876465,-65.5
Provincia de Tomina,2,Chuquisaca,-19.4170219421387,-64.4196029663086
Provincia de Yamparáez,2,Chuquisaca,-19.1762599945068,-64.9166564941406
Provincia Hernando Siles,2,Chuquisaca,-20.0833320617676,-64.0833358764648
Sud Cinti,2,Chuquisaca,-20.8236694335938,-64.9454498291016
Alonso De Ibanez,2,Cochabamba,-17.9710006713867,-66.5404968261719
Arque,2,Cochabamba,-17.8189001083374,-66.4681015014648
Ayopaya,2,Cochabamba,-16.9566834767659,-66.6234537760417
Capinota,2,Cochabamba,-17.7577330271403,-66.2620366414388
Carrasco,2,Cochabamba,-17.3366451263428,-65.2868041992188
Cercado,2,Cochabamba,-17.3897333145142,-66.1647872924805
Esteban Arce,2,Cochabamba,-17.6546999613444,-65.991200764974
Germán Jordán,2,Cochabamba,-17.4095001220703,-66.0404968261719
Punata,2,Cochabamba,-17.4888000488281,-65.8232116699219
Quillacollo,2,Cochabamba,-17.3935438791911,-66.2792231241862
Tapacarí,2,Cochabamba,-17.5172996520996,-66.618896484375
Tiraque,2,Cochabamba,-16.9666996002197,-65.4167022705078
Aroma,2,La Paz,-17.212929725647,-67.9484176635742
Camacho,2,La Paz,-15.4715595245361,-69.0114466349284
Franz Tamayo,2,La Paz,-14.7695002555847,-68.7415504455566
Gualberto Villarroel,2,La Paz,-17.6333669026693,-68.0277659098307
Iturralde,2,La Paz,-14.1077103614807,-67.8656272888184
José Manuel Pando,2,La Paz,-17.5081005096436,-67.6723022460938
Larceja,2,La Paz,-15.7733325958252,-68.6480560302734
Munecas,2,La Paz,-15.4203500747681,-68.7598495483398
Nor Yungas,2,La Paz,-16.1941776275635,-67.7288131713867
Pacajes,2,La Paz,-17.2242121696472,-68.7744750976562
Carangas,2,Oruro,-18.7481994628906,-67.7539978027344
Cercado,2,Oruro,-17.9914538065592,-67.1466318766276
Eduardo Avaroa,2,Oruro,-18.8999996185303,-66.7667007446289
Poopo,2,Oruro,-18.4804801940918,-66.9210929870605
Saucari,2,Oruro,-18.1814002990723,-67.4060974121094
Sur Carangas,2,Oruro,-18.716667175293,-67.5666656494141
Madre De Dios,2,Pando,-11.5194848378499,-66.7876358032227
Manuripi,2,Pando,-11.1033000946045,-67.5547027587891
Nicolas Suarez,2,Pando,-11.1291033426921,-68.3910140991211
Alonso De Ibanez,2,Potosí,-18.2348709106445,-66.4726867675781
Antonio Quijarro,2,Potosí,-19.6726481119792,-66.3847325642904
