name,level,parent_region,lat,lon
Guayamerín,2,El Beni,-14.3782997131348,-65.0958023071289
Chuquisaca,2,Chuquisaca,-20.0249137878418,-64.1478271484375
Huacareca,2,Chuquisaca,-20.0249137878418,-64.1478271484375
Macharetí,2,Chuquisaca,-20.8166999816895,-63.4000015258789
Tarvita,2,Chuquisaca,-19.8333339691162,-64.533332824707
Villa Vaca Guzmán,2,Chuquisaca,-19.8955993652344,-63.753101348877
Batallas,2,La Paz,-16.2999992370605,-68.5333023071289
Charazani,2,La Paz,-15.1943998336792,-69.0046005249023
Chulumani,2,La Paz,-16.4089164733887,-67.5276412963867
Curva,2,La Paz,-15.1368999481201,-69.0530014038086
El Alto,2,La Paz,-16.5166664123535,-68.1666641235352
Inquisivi,2,La Paz,-16.9199199676514,-67.1736068725586
Irupana Municipality,2,La Paz,-16.4829006195068,-67.4580993652344
Jesús de Machaca,2,La Paz,-16.7472305297852,-68.8090515136719
La Paz,2,La Paz,-16.4990100860596,-68.1462478637695
Licoma,2,La Paz,-16.4990100860596,-68.1462478637695
Llallagua,2,La Paz,-16.86669921875,-68.6999969482422
Mecapaca,2,La Paz,-16.4990100860596,-68.1462478637695
Pucarani,2,La Paz,-16.4053401947021,-68.4776763916016
Quime,2,La Paz,-16.9817008972168,-67.2166976928711
San Andres de Machaca,2,La Paz,-16.9559993743896,-68.9684066772461
Saphaqui,2,La Paz,-16.8957996368408,-67.9511032104492
Viacha,2,La Paz,-16.6531295776367,-68.3014068603516
Tacobamba,2,Potosí,-19.1833000183105,-65.5500030517578
Gutiérrez,2,Santa Cruz,-19.4104099273682,-63.5344581604004
