project,donor,amount
Alfabetización de mujeres indígenas en la Provincia de Muñecas,Grupo PrimaFlor,10000
"Diversificados los procesos productivos en las comunidades de Belén de Urmiri, Puituco y Villa Marcavi, Municipio Belén de Urmiri",Diputación de Toledo,10863
"Diversificados los procesos productivos en las comunidades de Belén de Urmiri, Puituco y Villa Marcavi, Municipio Belén de Urmiri",Municipio de Belén de Urmiri,33713
"Diversificados los procesos productivos en las comunidades de Belén de Urmiri, Puituco y Villa Marcavi, Municipio Belén de Urmiri",Paz y Desarrollo,1400
Mejora de la calidad educativa en el Barrio Urbano Marginal de Villa Armonía (La Paz) mediante el desarrollo de actividades formativas y mejora de infraestructuras,Ayuntamiento de Zaragoza,50000
Mejora de la calidad educativa en el Barrio Urbano Marginal de Villa Armonía (La Paz) mediante el desarrollo de actividades formativas y mejora de infraestructuras,Institucion Cultural Femenina Boliviana,25168
Una experiencia educativa comunitaria desde la interculturalidad,Ayuntamiento de Cabanillas,26928
Una experiencia educativa comunitaria desde la interculturalidad,Centro social Ipeno Imutu,20131
Alfabetización de mujeres indígenas en la Provincia de Muñecas,Institucion Cultural Femenina Boliviana,1691
Alfabetización de mujeres indígenas en la Provincia de Muñecas,Ayuntamiento de Toledo,19296
Centro de desarrollo integral para adolescentes y jóvenes,Taller Cultural Tinku,27889
Centro de desarrollo integral para adolescentes y jóvenes,Proyecto Solidario,30251
Centro de desarrollo integral para adolescentes y jóvenes,Bicis por la Paz,4750
Desarrollo territorial en el ADT Betanzos,Ayuda en Acción,270181
Apoyando microempresas,Diputación de Zaragoza,16000
Apoyo a la gestión económica y productiva,Ayuda en Acción,14392
Apoyo a la gestión económica y productiva,Servicios Multiples de Tecnologias Apropiadas,26134
Apoyo a la gestión económica y productiva,Municipios de Licoma y Cajuata,48301
Avanzando hacia la equidad en los espacios políticos y sociales de la Chiquitanía, Asociación para el Desarrollo Social y Cultural ZABALKETA,24563
Apoyo a la red de seguridad alimentaria,Ayuda en Acción,7877
Mujeres En Acción Construyendo la Equidad,Asociación Civil AYNI,163031
Apoyo al desarrollo socioeconómico y ambientalmente sostenible de las comunidades del municipio de El Torno,Obra Social La Caixa,550000
Apoyo al desarrollo socioeconómico y ambientalmente sostenible de las comunidades del municipio de El Torno,Centro de Estudio de la Hoya Amazoníca ,23870
Apoyo al desarrollo socioeconómico y ambientalmente sostenible de las comunidades del municipio de El Torno,Municipio de El Torno,562066
Apoyo al Secretariado Rural,Ayuda en Acción,7877
"Atención Integral a niños y adolescentes de colegios de Cochabamba para la prevención de conductas antisociales, violencia, uso indebido de drogas, alcohol y del VIH-SIDA",Junta de Comunidades de Castilla La Mancha,275262
"Atención Integral a niños y adolescentes de colegios de Cochabamba para la prevención de conductas antisociales, violencia, uso indebido de drogas, alcohol y del VIH-SIDA",Centro de Desarrollo Integral Para la Mujer y la Familia,389872
"Atención Integral a niños y adolescentes de colegios de Cochabamba para la prevención de conductas antisociales, violencia, uso indebido de drogas, alcohol y del VIH-SIDA",Proyecto Solidario,4130
Avanzando hacia la equidad en los espacios políticos y sociales de la Chiquitanía,Agencia Española de Cooperación Internacional,185254
Avanzando hacia la equidad en los espacios políticos y sociales de la Chiquitanía,Proceso Servicios Educativos,20283
Avanzando hacia la equidad en los espacios políticos y sociales de la Chiquitanía,"Beneficiarios, Socios, Comunidades, etc",3827
Proyecto AYRA,Agencia Española de Cooperación Internacional,270000
"Casa de acogida Hnas. del Divino Salvador, Cochabamba",Ayuntamiento de Zaragoza,41094
Centro de Producción y Extensión Técnica,Paz y Desarrollo,20000
Centro de Producción y Extensión Técnica,Centro de Iniciativas para el Desarrollo,56000
Centro Modelo de Reinserción para Adolescentes y Jóvenes Infractores  de la Ley,Junta de Comunidades de Castilla La Mancha,306500
Centro de Educación Integral Santa Lucia de Yocalla,Diputación de Málaga,30000
Centro de Educación Integral Santa Lucia de Yocalla,Centro de Iniciativas para el Desarrollo,36167
Centro de Educación Integral Santa Lucia de Yocalla,Paz y Desarrollo,4526
Centro de Recursos y Apoyo Psicopedagógico a Escuelas Rurales,Asociación Andaluza por la Solidaridad y la Paz,9305
Centro de Recursos y Apoyo Psicopedagógico a Escuelas Rurales,Asociación por la Dignidad e Igualdad de Oportunidades,13861
Centro de Recursos y Apoyo Psicopedagógico a Escuelas Rurales,Ayuntamiento de Granada,47563
Consolidación de asentamientos de comunidades indígenas guaraníes. Fase II ,Diputación Foral de Bizkaia,149955
Consolidación de asentamientos de comunidades indígenas guaraníes. Fase II ,Fundación Intercultural NORSUD,53920
Consolidación de asentamientos de comunidades indígenas guaraníes. Fase II ,Municipio de Huacareca,26115
Construcción de un sistema de agua potable en la comunidad de Chajhuaya,Ayuda en Acción,5440
"Consolidación de la piscicultura rural a pequeña escala en las comunidades de la provincia de Moxos, Departamento del Beni, Bolivia.",Centro de Estudio de la Hoya Amazoníca ,171749
Construcción de un sistema de agua potable en la comunidad de Chajhuaya,Ayuntamiento de Eibar,23256
"Consolidación de la piscicultura rural a pequeña escala en las comunidades de la provincia de Moxos, Departamento del Beni, Bolivia.",Centre D'estudis Amazónics,58500
"Consolidación de la piscicultura rural a pequeña escala en las comunidades de la provincia de Moxos, Departamento del Beni, Bolivia.",Ayuntamiento de San Cugat,211768
"Construcción Centro Educativo ""Juan de Dios Bosque""",Ayuda en Acción,4978
"Construcción Centro Educativo ""Juan de Dios Bosque""",Ayuntamiento de Pamplona,28000
"Construcción Centro Educativo ""Juan de Dios Bosque""",Cáritas Boliviana,14628
"Construcción Centro Educativo ""Juan de Dios Bosque""","Beneficiarios, Socios, Comunidades, etc",35500
