organization_id, name, website
AAC,Agencia Asturiana de Cooperación,http://www.bienestar.as/v_portal/apartados/apartado.asp?te=82
AACID,Agencia Andaluza de Cooperación Internacional al Desarrollo,http://www.juntadeandalucia.es/presidencia/impe/presidencia/navegacion?idSeccion=e7b607f0-b7df-11de-983c-00127968a9ba
ACCD,Agencia Catalana de Cooperación al Desarrollo,http://www.gencat.cat/cooperacioexterior/cooperacio/
ACF-E,Acción contra el Hambre - Misión Paraguay-Bolivia,http://www.accioncontraelhambre.org/
ACIB,Agencia de Cooperación de las Islas Baleares,http://www.caib.es/govern/organigrama/area.do?coduo=81456&lang=es
ACLO,Fundación Acción Cultural Loyola,http://www.aclobolivia.org/
ACSUR, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,http://www.acsur.org/
ADA,Red nacional de trabajadoras de la información y la comunicación,http://www.redada.org/
AdAR,Ayuntamiento de Aranjuez,http://www.aranjuez.es/
AdAS,Ayuntamiento de Abanto-Zierbena,http://www.abanto-zierbena.org/
AdAZU,Ayuntamiento de Azuqueca de Henares,http://www.azuqueca.es/
AdB,Ayuntamiento de Barcelona ,http://www.bcn.es/
AdBAD,Ayuntamiento de Badalona,http://badalona.cat/
AdBIL,Ayuntamiento de Bilbao,http://www.bilbao.net/
AdBUR,Ayuntamiento de Burlada,http://www.burlada.es/
AdCab,Ayuntamiento de Cabanillas,http://www.aytocabanillasdelcampo.com/
AdCAS,Ayuntamiento de Cascante,
AdCor,Ayuntamiento de Córdoba,http://www.ayuncordoba.es/
AdDON,Ayuntamiento de Donostia (San Sebastián),http://www.donostia.org/
AdE,Ayuntamiento de Eibar,http://www.eibar.es/
AdEST,Ayuntamiento de Estella,http://www.estella-lizarra.com/es/
AdFIG,Ayuntamiento de Figueres,http://www.figueres.cat/
AdG,Ayuntamiento de Granada,http://www.granada.org/
AdGAV,Ayuntamiento de Gavá,http://www.gavaciutat.net/
AdGET,Ayuntamiento de Getxo,http://www.getxo.net/
AdGIR,Ayuntamiento de Girona,www.girona.cat
ADIO,Asociación por la Dignidad e Igualdad de Oportunidades,
AdIRUN,Ayuntamiento de Irún,http://www.irun.org/cod/index.aspx?idioma=1
AdL,Ayuntamiento de Leioa,http://www.leioa.eu/
AdM,Ayuntamiento de Madrid,http://www.madrid.es
AdMAJ,Ayuntamiento de Majadahonda,http://www.majadahonda.org/
AdMAL,Ayuntamiento de Málaga,http://www.malaga.eu/
AdMG,Ayuntamiento de Masnou / Gavá,http://www.gavaciutat.cat/
AdMo,Ayuntamiento de Móstoles,http://www.mostoles.es/
AdMu,Ayuntamiento de Murcia,http://www.murcia.es/
AdNOA,Ayuntamiento de Noáin,http://www.noain.es/es/
AdORD,Ayuntamiento de Ordizia,http://www.ordizia.org/
AdP,Ayuntamiento de Pamplona,http://www.pamplona.net/
AdPAL,Ayuntamiento de Palma,http://www.palmademallorca.es/
AdPAR,Ayuntamiento de Parafrugell,http://www.palafrugell.cat/
AdPor,Ayuntamiento de Portugalete,http://www.portugalete.org/
AdREN,Ayuntamiento de Rentería,http://www.errenteria.net/es/html/
AdRIB,Ayuntamiento de Ribaforada,http://www.ribaforada.es/es/
AdRVM,Rivas Vacia Madrid,http://www.rivasciudad.es/
AdS,Ayuntamiento de Sestao,http://www.sestao.net/
AdSAN,Ayuntamiento de Santander,http://ayto-santander.es/
AdSC,Ayuntamiento de San Cugat,http://www.santcugat.cat/
AdSMV,Ayuntamiento de San Martín de la Vega,http://www.yecla.com/ayuntamiento/
AdTe,Ayuntamiento de Terrassa,http://www.ajterrassa.es/
AdTo,Ayuntamiento de Toledo,http://www.ayto-toledo.org/
AdV,Ajuntament de Vic,http://www.vic.cat/
AdVal,Ayuntamiento de Valencia,http://www.valencia.es/
AdVALD,Ayuntamiento de Valdemoro,http://www.valdemoro.es/
AdYEC,Ayuntamiento de Yecla,http://www.yecla.com/ayuntamiento/
AdZ,Ayuntamiento de Zaragoza,http://www.zaragoza.es/
AeA,Ayuda en Acción,http://www.ayudaenaccion.org/
AECID,Agencia Española de Cooperación Internacional,http://www.aecid.bo/
AGUA,Agua Sustentable,
AIPE,Asociación de Instituciones de Promoción y Educación,http://www.aipe.org.bo/
