organization_id,name,website
ACF-E,Acción contra el Hambre - Misión Paraguay-Bolivia,http://www.accioncontraelhambre.org/
ACSUR, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,http://www.acsur.org/
AeA,Ayuda en Acción,http://www.ayudaenaccion.org/
ASPA,Asociación Andaluza por la Solidaridad y la Paz,http://www.aspa-andalucia.org/
Caritas,Cáritas,http://www.caritas.es/
CEAM,Centre D'estudis Amazónics,http://www.ceam-ong.org/
CERAI,Centro de Estudios Rurales y de Agricultura Internacional,http://www.cerai.org/
CIC_BATA,Centro de Iniciativas para la Cooperación Batá,http://www.cicbata.org/
COPADE,Fundación Copade,http://www.copade.es/
EC,Entreculturas,http://www.entreculturas.org/
EPM,Fundación Salud y Sociedad - Enfermeras para el Mundo ,http://www.ong.enfermundi.com/
ESF,Educación Sin Fronteras,http://www.educacionsinfronteras.org/
FAD,Fundación de Ayuda contra la Drogradicción,http://www.fad.es/
FIDE,Fundación Iberoamericana para el Desarrollo,http://www.fundacionfide.org/
FPM,Fisioterapeutas para el Mundo Solidarios,http://www.fisioterapeutasparaelmundo.com/
FPSC,Fundación Promoción Social de la Cultura,http://www.fundacionfpsc.org/
Iepala,Instituto de Estudios Politicos para America Latina y Africa,http://www.iepala.es/
Intered,Fundacion Intered,http://www.intered.org/
IO,Intermón Oxfam,http://www.intermonoxfam.org/
IPADE,Instituto para la promoción y ayuda al desarrollo,http://www.fundacion-ipade.org/
ISCOD,Instituto Sindical de Cooperación al Desarrollo ISCOD-UGT Bolivia,http://www.iscod.org/
ISF-Cat,Asociación Catalana de Ingeniería Sin Fronteras,http://www.esf-cat.org/
JTM,Jóvenes y desarrollo,http://www.jovenestercermundo.org/
MdM,Medicos del Mundo,http://www.medicosdelmundo.org/
MME,Medicus Mundi,http://www.medicusmundi.info/
MPDL,"Movimiento por la Paz, el Desarme y la Libertad",http://www.mpdl.org/
Mundubat,Fundación Mundubat,http://www.mundubat.org/
PS,Proyecto Solidario,http://www.proyectosolidario.org/
PyD,Paz y Desarrollo,http://www.pazydesarrollo.org/
RRubial,Fundación Ramón Rubial,http://www.institutoramonrubial.fundacionideas.es/index.php?s=5
SI,Solidaridad Internacional,http://www.solidaridad.org/
VSF,Veterinarios Sin Fronteras - VETERMON,http://www.veterinariossinfronteras.org/
Yanapi,Asociación de Apoyo a la Infancia ,http://www.yanapi.org/castellano/inici.htm
Zabalketa, Asociación para el Desarrollo Social y Cultural ZABALKETA,http://www.zabalketa.org/
