name,description,start_date,end_date,date_provided,date_updated,sector,organization,regions
"Diversificados los procesos productivos en las comunidades de Belén de Urmiri, Puituco y Villa Marcavi, Municipio Belén de Urmiri","Equipamiento de tres Centros de Producción artesanal que utilizan los centros de Madres de las comunidades, la capacitación de las productoras y la posterior venta del material artesanal producido
",2008-10-10,2009-10-09,2012-01-17,2012-01-17,Crecimiento Económico,Paz y Desarrollo,Chaqui|Betanzos|Tacobamba
Mejora de la calidad educativa en el Barrio Urbano Marginal de Villa Armonía (La Paz) mediante el desarrollo de actividades formativas y mejora de infraestructuras,"El proyecto consiste en la construccion  de una biblioteca en Villa Armonia y el desarrollo de actividades socioculturales desde este espacio con  niños jovenes y adultos
",2009-01-01,2010-01-30,2012-01-17,2012-01-23,Educación,Fundacion Intered,La Paz
Una experiencia educativa comunitaria desde la interculturalidad,"El centro ipeno Imutu desde una educacion Integral  con niños, jovenes y adultos en coordinacion Con el Cabildo indigenal, recupera la cultura Trinitaria, idioma musica y valores culturales",2009-01-11,2010-01-11,2012-01-17,,Educación,Fundacion Intered,Trinidad
10 escuelas nocturnas en Potosí: convirtiendo el fracaso escolar en éxito: comunidades educativas movilizas por la mejora de los aprendizajes,"Incorporación de equipamiento y uso de nuevas tecnologías en escuelas nocturnas de la ciudad de Potosí donde acuden mayoritariamente alumnos/as trabajadores para la mejora del rendimiento escolar.
",2009-01-01,2010-12-31,2012-01-17,2012-10-08,Educación,Educación Sin Fronteras,Potosí
Centro de desarrollo integral para adolescentes y jóvenes,"Con este Proyecto implementamos diferentes estrategias y acciones para beneficiarios/as comprendidos/as entre los 14 y 19 años, de los distritos 5 y 6 de la ciudad de Cochabamba, que les permiten alcanzar un desarrollo socio afectivo adecuado a su edad, a través del conocimiento y ejercicio de sus derechos, además de entregarles herramientas de vida para desempeñar un rol proactivo en la sociedad. Complementariamente, ejecutamos procesos de capacitación, orientados a mejorar sus condiciones de vida a futuro",2008-12-12,2010-12-12,2012-01-17,2012-01-17,Educación,Proyecto Solidario,Cercado
Alfabetización de mujeres indígenas en la Provincia de Muñecas,"Sistematización, elaboración y validación de materiales de apoyo, en quechua y bilingües para consolidar la Educación Primaria de mujeres quechuas, que no han tenido oportunidad de acceder al sistema de educación formal y actualmente siguen cursos de capacitación y formación en el CETHA. ",2008-01-01,2009-02-28,2012-01-17,2012-01-17,Educación,Fundacion Intered,Chuma|Ayata
Apoyando microempresas,,2009-01-01,2009-09-30,2012-01-17,2012-01-18,Crecimiento Económico,Cáritas,Bolivia
Apoyo a la gestión económica y productiva,"Proyecto de fortalecimiento al desarrollo económico local en los municipios de Licoma y Cajuata de la provincia Inquisivi. Los otros socios o financiadores lo constituyen los Gobiernos municipales de Licoma y Cajuata, además de las familias beneficiarias",2008-11-01,2009-10-31,2012-01-17,2012-01-17,Crecimiento Económico,Ayuda en Acción,La Paz
Apoyo a la red de seguridad alimentaria,El proyecto consiste en apoyar las actividades de la red e seguridad y soberania alimentaria nutricional,2009-01-01,2009-12-31,2012-01-17,2012-01-17,Gobernabilidad Democrática,Ayuda en Acción,Bolivia
Apoyo al desarrollo socioeconómico y ambientalmente sostenible de las comunidades del municipio de El Torno,"El programa tiene un componente de desarrollo económico y con aspectos socioculturales, medioambientales y de fortalecimiento institucional, prioriza la equidad de género y la participación. Implementa técnicas productivas sostenibles y elabora participativamente un plan de manejo del territorio",2008-10-01,2012-09-30,2012-01-17,2012-02-07,Crecimiento Económico,Ayuda en Acción,El Torno
Apoyo al Secretariado Rural,El proyecto consiste en apoyar las actividades del Secretariado Rural con el intercambio de experiencias y aprendizajes entre las ONGs socias,2009-01-01,2009-12-31,2012-01-17,,Gobernabilidad Democrática,Ayuda en Acción,Bolivia
"Atención Integral a niños y adolescentes de colegios de Cochabamba para la prevención de conductas antisociales, violencia, uso indebido de drogas, alcohol y del VIH-SIDA",,2008-11-01,2009-11-01,2012-01-18,2012-01-18,Salud,Proyecto Solidario,Cercado
Avanzando hacia la equidad en los espacios políticos y sociales de la Chiquitanía,"Se aprovecha la oportunidad histórica de la coyuntura para incorporar la visión y participación de las mujeres jóvenes indígenas, abriendo espacios de participación e impulsar la incorporación de la perspectiva de la mujer en sus organizaciones, municipios y en procesos de desarrollo de TCOs",2008-09-15,2010-11-01,2012-01-18,2012-01-18,Género en Desarrollo, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
Proyecto AYRA,,2007-11-01,2009-09-30,2012-01-18,,Crecimiento Económico,Instituto para la promoción y ayuda al desarrollo,Mancomunidad Caine
"Casa de acogida Hnas. del Divino Salvador, Cochabamba",,2008-08-01,2009-08-31,2012-01-18,,Educación,Jóvenes y desarrollo,Cercado
Centro de Producción y Extensión Técnica,"Contribuir al desarrollo económico (productivo) y social en el área del Corredor Villa Tunari – Warnes (que agrupa a 10 municipios de los Departamentos de Cochabamba y Santa Cruz).
",2007-12-01,2009-04-14,2012-01-18,2012-01-18,Gobernabilidad Democrática,Paz y Desarrollo,Villa Tunari|Warnes
